Name,Team,GP,GS,MIN,W,L,OTL,EGA,GA,GAA,SA,SV,SVPCT,SO
Sergei Bobrovsky,COB,37,37,2157,28,7,2,3,71,1.98,1050,979,.932,3
Devan Dubnyk,MIN,36,36,2167,25,8,3,0,69,1.91,1059,990,.935,5
Martin Jones,SAN,41,41,2419,25,14,2,5,90,2.23,1085,995,.917,2
Cam Talbot,EDM,43,43,2589,24,12,7,2,104,2.41,1289,1185,.919,3
Braden Holtby,WAS,37,37,2169,23,8,4,2,71,1.96,1007,936,.929,6
Tuukka Rask,BOS,39,39,2222,22,12,4,3,78,2.11,974,896,.920,5
Carey Price,MON,35,35,2082,21,9,5,1,82,2.36,1020,938,.920,2
Henrik Lundqvist,NYR,35,33,1944,21,12,1,1,89,2.75,948,859,.906,2
Peter Budaj,LOS,40,38,2272,20,14,3,8,81,2.14,970,889,.916,4
Frederik Andersen,TOR,38,38,2270,20,10,8,1,99,2.62,1230,1131,.920,2
John Gibson,ANA,38,36,2142,19,10,8,0,81,2.27,1026,945,.921,3
Cam Ward,CAR,40,40,2351,18,15,6,1,103,2.63,1091,988,.906,2
Pekka Rinne,NAS,36,36,2130,18,12,6,6,83,2.34,1052,969,.921,1
Corey Crawford,CHI,31,31,1834,18,10,3,3,77,2.52,950,873,.919,2
Jake Allen,STL,34,34,1850,17,12,3,5,88,2.85,851,763,.897,1
Matt Murray,PIT,24,22,1293,17,4,1,1,50,2.32,653,603,.923,2
Chad Johnson,CGY,29,29,1667,16,11,1,1,67,2.41,806,739,.917,3
Connor Hellebuyck,WPG,34,32,1810,16,13,1,4,85,2.82,916,831,.907,3
Steve Mason,PHI,39,35,2096,15,15,6,6,102,2.92,1007,905,.899,0
Cory Schneider,NJD,35,35,2075,14,14,7,5,93,2.69,1037,944,.910,2
Ryan Miller,VAN,29,29,1728,14,11,3,5,72,2.50,891,819,.919,2
Mike Condon,OTT,26,23,1425,13,7,4,1,59,2.48,690,631,.914,3
Marc-Andre Fleury,PIT,27,24,1466,13,7,4,3,79,3.23,826,747,.904,0
Roberto Luongo,FLA,32,32,1932,13,13,6,3,79,2.45,999,920,.921,1
Thomas Greiss,NYI,23,22,1318,12,7,3,0,51,2.32,707,656,.928,2
Scott Darling,CHI,21,18,1111,12,4,2,0,41,2.21,568,527,.928,2
Craig Anderson,OTT,19,19,1145,12,6,1,0,47,2.46,615,568,.924,3
Ben Bishop,TAM,26,25,1448,11,11,3,2,67,2.78,708,641,.905,0
Robin Lehner,BUF,30,30,1739,11,12,5,4,73,2.52,929,856,.921,0
Petr Mrazek,DET,27,22,1476,10,11,5,4,77,3.13,736,659,.895,0
Andrei Vasilevskiy,TAM,26,23,1406,10,11,2,4,67,2.86,718,651,.907,2
Mike Smith,ARI,29,29,1667,10,13,5,4,82,2.95,969,887,.915,0
Antti Niemi,DAL,26,21,1235,10,7,4,2,65,3.16,665,600,.902,0
Antti Raanta,NYR,18,15,915,10,4,0,2,34,2.23,443,409,.923,2
Kari Lehtonen,DAL,31,27,1628,9,13,5,6,78,2.87,775,697,.899,1
Philipp Grubauer,WAS,12,10,672,9,1,2,1,23,2.05,308,285,.925,2
Jonathan Bernier,ANA,19,14,873,8,4,1,1,42,2.89,428,386,.902,1
Anders Nilsson,BUF,18,16,1048,8,6,4,2,44,2.52,586,542,.925,1
Brian Elliott,CGY,23,21,1334,8,12,2,7,65,2.92,596,531,.891,0
Jacob Markstrom,VAN,22,19,1180,8,9,3,5,51,2.59,579,528,.912,0
Calvin Pickard,COL,22,20,1216,7,12,1,2,61,3.01,638,577,.904,1
James Reimer,FLA,19,17,1053,7,6,4,2,47,2.68,540,493,.913,0
Al Montoya,MON,14,13,815,7,4,2,0,37,2.72,405,368,.909,1
Jaroslav Halak,NYI,21,20,1188,6,8,5,2,64,3.23,669,605,.904,1
Keith Kinkaid,NJD,14,13,835,6,5,2,1,35,2.52,456,421,.923,0
Semyon Varlamov,COL,24,23,1348,6,17,0,5,76,3.38,745,669,.898,1
Carter Hutton,STL,20,12,923,6,6,2,5,43,2.80,399,356,.892,1
Michal Neuvirth,PHI,14,11,621,6,4,0,1,35,3.38,285,250,.877,0
Jared Coreau,DET,10,10,516,5,1,2,1,24,2.79,251,227,.904,2
Darcy Kuemper,MIN,10,10,604,5,3,2,2,33,3.28,333,300,.901,0
Jimmy Howard,DET,17,15,857,5,7,1,2,28,1.96,426,398,.934,1
Louis Domingue,ARI,21,17,1034,5,12,1,2,55,3.19,536,481,.897,0
Juuse Saros,NAS,9,9,540,5,3,1,3,13,1.44,269,256,.952,1
Aaron Dell,SAN,8,7,457,5,2,0,0,14,1.84,209,195,.933,1
Michael Hutchinson,WPG,20,15,1002,4,10,3,1,54,3.23,510,456,.894,1
Curtis McElhinney,TOR,8,6,436,3,1,2,0,17,2.34,235,218,.928,0
Michael Leighton,CAR,4,3,210,2,2,0,0,12,3.42,92,80,.870,0
Anthony Stolarz,PHI,4,2,201,2,0,0,0,6,1.79,96,90,.938,1
Ondrej Pavelec,WPG,3,3,177,2,1,0,0,9,3.05,97,88,.907,0
Joonas Korpisalo,COB,3,3,179,2,1,0,0,11,3.68,98,87,.888,0
Jeff Zatkoff,LOS,12,8,530,2,7,1,1,26,2.94,218,192,.881,0
Eddie Lack,CAR,5,4,238,1,2,1,2,15,3.79,104,89,.856,0
Jonas Gustavsson,EDM,7,5,329,1,3,1,1,17,3.10,139,122,.878,0
Anton Khudobin,BOS,8,7,451,1,5,1,0,23,3.06,200,177,.885,0
Jean-Francois Berube,NYI,6,3,213,1,2,1,3,10,2.82,119,109,.916,0
Laurent Brossoit,EDM,1,1,60,1,0,0,0,3,3.00,41,38,.927,0
Antoine Bibeau,TOR,2,2,121,1,1,0,1,4,1.99,55,51,.927,0
Jorge Alves,CAR,1,0,0,0,0,0,0,0,0.00,0,0,N/A,0
Alex Nedeljkovic,CAR,1,0,30,0,0,0,0,0,0.00,17,17,1.000,0
Kristers Gudlevskis,TAM,1,0,11,0,0,0,0,0,0.00,3,3,1.000,0
Pheonix Copley,STL,1,1,59,0,1,0,0,5,5.09,29,24,.828,0
Spencer Martin,COL,2,2,119,0,1,1,0,8,4.02,56,48,.857,0
Malcolm Subban,BOS,1,1,31,0,1,0,0,3,5.88,16,13,.813,0
Magnus Hellberg,NYR,1,0,19,0,0,0,0,0,0.00,4,4,1.000,0
Zane McIntyre,BOS,7,3,304,0,3,1,0,20,3.95,143,123,.860,0
Justin Peters,ARI,3,1,133,0,1,0,1,7,3.16,70,63,.900,0
Jack Campbell,LOS,1,0,20,0,0,0,0,0,0.00,5,5,1.000,0
Dustin Tokarski,ANA,1,0,10,0,0,0,0,0,0.00,5,5,1.000,0
Anton Forsberg,COB,1,1,59,0,1,0,1,4,4.10,27,23,.852,0
Marek Mazanec,NAS,4,2,178,0,2,0,0,14,4.73,87,73,.839,0
Jhonas Enroth,ANA,6,4,274,0,3,1,0,18,3.94,141,123,.872,0
Jonathan Quick,LOS,1,1,20,0,0,0,0,1,3.01,15,14,.933,0
Chris Driedger,OTT,1,0,40,0,1,0,0,4,6.00,15,11,.733,0
Andrew Hammond,OTT,4,3,137,0,1,0,0,8,3.52,55,47,.855,0
